"Cittadinanza","Genere","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Austria","Femmine",300.00,300.00,292.00,299.00,174.00,287.00,281.00,296.00,297.00,296.00,296.00,325.00,324.00,324.00,331.00,324.00,211.00,211.00,219.00,214.00,208.00,217.00,231.00,227.00,225.00,240.00,226.00
"Austria","Maschi",242.00,247.00,237.00,232.00,108.00,219.00,214.00,211.00,205.00,203.00,196.00,208.00,205.00,203.00,212.00,194.00,113.00,115.00,122.00,120.00,117.00,124.00,134.00,138.00,136.00,138.00,120.00
"Azerbaigian","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,11.00,10.00,9.00,6.00,12.00,14.00,14.00,12.00,12.00,13.00,14.00,14.00,15.00
"Azerbaigian","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,3.00,8.00,8.00,7.00,3.00,8.00,8.00,9.00,10.00,14.00,13.00,10.00,11.00,10.00
"Bahama","Femmine",1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00
"Bahama","Maschi",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Bangladesh","Femmine",3.00,3.00,4.00,5.00,6.00,0.00,9.00,14.00,25.00,37.00,62.00,125.00,158.00,189.00,239.00,272.00,291.00,334.00,445.00,556.00,603.00,654.00,847.00,943.00,1101.00,1234.00,1350.00
"Bangladesh","Maschi",11.00,13.00,14.00,16.00,87.00,0.00,309.00,317.00,312.00,321.00,416.00,587.00,655.00,931.00,1262.00,1254.00,997.00,1659.00,1823.00,1891.00,1938.00,2022.00,2473.00,2920.00,3637.00,4754.00,5334.00
"Barbados","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00
"Barbados","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00
"Belgio","Femmine",143.00,143.00,146.00,149.00,83.00,0.00,163.00,165.00,176.00,188.00,193.00,200.00,203.00,212.00,224.00,221.00,129.00,145.00,164.00,156.00,165.00,172.00,177.00,179.00,181.00,188.00,165.00
"Belgio","Maschi",109.00,106.00,100.00,103.00,48.00,0.00,107.00,119.00,126.00,124.00,146.00,150.00,157.00,164.00,184.00,183.00,101.00,101.00,112.00,112.00,112.00,116.00,121.00,127.00,129.00,131.00,111.00
"Belize","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Belize","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Benin (Dahomey)","Femmine",0.00,0.00,0.00,0.00,2.00,0.00,2.00,5.00,5.00,5.00,8.00,9.00,9.00,9.00,9.00,13.00,4.00,3.00,6.00,6.00,8.00,7.00,6.00,8.00,8.00,10.00,13.00
"Benin (Dahomey)","Maschi",1.00,1.00,1.00,1.00,1.00,0.00,5.00,7.00,8.00,7.00,7.00,7.00,10.00,11.00,10.00,13.00,6.00,8.00,9.00,10.00,9.00,6.00,8.00,8.00,11.00,16.00,13.00
"Bhutan","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Bielorussia","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,4.00,3.00,5.00,7.00,14.00,17.00,32.00,52.00,65.00,70.00,74.00,89.00,111.00,147.00,189.00,207.00
"Bielorussia","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,5.00,4.00,5.00,7.00,8.00,13.00,14.00,14.00,16.00,19.00,22.00,28.00,30.00
"Bolivia","Femmine",9.00,13.00,13.00,12.00,36.00,0.00,26.00,24.00,23.00,24.00,28.00,37.00,39.00,53.00,59.00,68.00,69.00,183.00,259.00,301.00,328.00,359.00,492.00,772.00,1099.00,1283.00,1346.00
"Bolivia","Maschi",8.00,6.00,6.00,8.00,25.00,0.00,26.00,22.00,20.00,19.00,23.00,29.00,32.00,44.00,49.00,51.00,43.00,118.00,152.00,182.00,202.00,223.00,295.00,434.00,596.00,745.00,809.00
"Bosnia-Erzegovina","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,2.00,21.00,55.00,67.00,74.00,84.00,88.00,104.00,119.00,129.00,82.00,95.00,105.00,116.00,117.00,117.00,122.00,118.00,112.00,152.00,149.00
"Bosnia-Erzegovina","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,2.00,20.00,55.00,70.00,79.00,88.00,93.00,115.00,122.00,120.00,78.00,102.00,114.00,120.00,129.00,125.00,121.00,123.00,116.00,138.00,133.00
"Brasile","Femmine",212.00,248.00,281.00,378.00,368.00,567.00,628.00,677.00,740.00,777.00,854.00,1040.00,1056.00,1154.00,1244.00,1251.00,977.00,1214.00,1545.00,1607.00,1619.00,1621.00,1803.00,2007.00,2242.00,2472.00,2360.00
"Brasile","Maschi",155.00,178.00,190.00,243.00,200.00,333.00,394.00,419.00,433.00,424.00,493.00,629.00,651.00,710.00,791.00,811.00,553.00,748.00,1035.00,995.00,993.00,967.00,1064.00,1157.00,1256.00,1402.00,1325.00
"Bulgaria","Femmine",39.00,42.00,44.00,46.00,44.00,0.00,86.00,96.00,97.00,117.00,134.00,185.00,212.00,275.00,305.00,320.00,280.00,405.00,457.00,493.00,559.00,637.00,720.00,838.00,895.00,1035.00,1006.00
"Bulgaria","Maschi",42.00,48.00,47.00,47.00,35.00,0.00,61.00,70.00,83.00,96.00,123.00,170.00,192.00,271.00,321.00,329.00,279.00,414.00,458.00,480.00,520.00,556.00,604.00,652.00,675.00,751.00,698.00
"Burkina Faso (Alto Volta)","Femmine",0.00,0.00,1.00,1.00,3.00,0.00,0.00,3.00,6.00,8.00,8.00,13.00,12.00,12.00,14.00,15.00,15.00,18.00,18.00,16.00,16.00,13.00,17.00,17.00,17.00,16.00,16.00
"Burkina Faso (Alto Volta)","Maschi",0.00,1.00,3.00,4.00,1.00,0.00,6.00,10.00,10.00,12.00,15.00,21.00,19.00,19.00,17.00,18.00,18.00,19.00,20.00,25.00,24.00,27.00,33.00,30.00,26.00,42.00,34.00
"Burundi","Femmine",0.00,3.00,3.00,3.00,5.00,0.00,6.00,5.00,6.00,6.00,10.00,15.00,14.00,16.00,15.00,14.00,10.00,10.00,11.00,10.00,9.00,8.00,8.00,6.00,6.00,6.00,6.00
"Burundi","Maschi",7.00,7.00,7.00,6.00,3.00,0.00,6.00,7.00,10.00,9.00,7.00,8.00,8.00,12.00,11.00,11.00,5.00,5.00,5.00,6.00,6.00,5.00,5.00,5.00,5.00,5.00,5.00
"Cambogia","Femmine",1.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00
"Cambogia","Maschi",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,6.00,9.00,5.00,0.00,0.00,0.00,0.00,0.00
"Camerun","Femmine",15.00,13.00,12.00,15.00,3.00,0.00,28.00,34.00,38.00,42.00,46.00,49.00,53.00,55.00,62.00,71.00,51.00,62.00,83.00,91.00,95.00,100.00,116.00,133.00,138.00,166.00,184.00
"Camerun","Maschi",18.00,22.00,21.00,23.00,10.00,0.00,36.00,44.00,45.00,49.00,54.00,58.00,64.00,64.00,71.00,69.00,42.00,57.00,85.00,109.00,110.00,107.00,142.00,183.00,180.00,185.00,193.00
"Canada","Femmine",63.00,65.00,66.00,67.00,46.00,0.00,76.00,79.00,95.00,95.00,96.00,106.00,110.00,118.00,122.00,121.00,66.00,73.00,86.00,87.00,88.00,94.00,97.00,103.00,100.00,117.00,114.00
"Canada","Maschi",65.00,71.00,64.00,61.00,26.00,0.00,74.00,77.00,91.00,89.00,89.00,94.00,94.00,94.00,106.00,106.00,61.00,63.00,67.00,67.00,69.00,62.00,67.00,70.00,78.00,82.00,84.00
"Capo Verde","Femmine",53.00,57.00,59.00,64.00,36.00,0.00,65.00,71.00,87.00,92.00,89.00,97.00,101.00,109.00,129.00,138.00,112.00,136.00,149.00,157.00,156.00,152.00,151.00,148.00,142.00,142.00,137.00
