"Cittadinanza","Genere","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Dominica","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Dominicana. Repubblica","Femmine",34.00,55.00,65.00,77.00,65.00,0.00,147.00,173.00,217.00,223.00,272.00,383.00,416.00,461.00,527.00,538.00,448.00,503.00,563.00,580.00,578.00,572.00,645.00,689.00,708.00,762.00,775.00
"Dominicana. Repubblica","Maschi",7.00,9.00,10.00,20.00,21.00,0.00,35.00,38.00,48.00,51.00,80.00,134.00,148.00,180.00,208.00,226.00,201.00,220.00,244.00,262.00,269.00,272.00,335.00,358.00,399.00,447.00,464.00
"Ecuador","Femmine",20.00,26.00,25.00,47.00,50.00,0.00,76.00,85.00,113.00,149.00,302.00,498.00,705.00,1295.00,1736.00,1998.00,2654.00,6252.00,7236.00,7430.00,7267.00,7139.00,7516.00,7869.00,8216.00,8520.00,8400.00
"Ecuador","Maschi",3.00,8.00,9.00,13.00,21.00,0.00,21.00,23.00,36.00,54.00,139.00,253.00,396.00,711.00,978.00,1159.00,1509.00,4266.00,5120.00,5250.00,5081.00,4998.00,5368.00,5673.00,6016.00,6389.00,6348.00
"Egitto","Femmine",766.00,911.00,1034.00,1196.00,854.00,1612.00,1884.00,2180.00,2348.00,2459.00,2621.00,3018.00,3272.00,3506.00,3856.00,4090.00,3636.00,4078.00,4817.00,5258.00,5555.00,5824.00,6638.00,7296.00,7885.00,8679.00,9204.00
"Egitto","Maschi",2401.00,2663.00,2795.00,3340.00,2080.00,4748.00,4950.00,5145.00,5125.00,5695.00,6818.00,8057.00,8570.00,9803.00,11725.00,11580.00,9384.00,14451.00,16175.00,16879.00,17379.00,17694.00,19200.00,21347.00,24114.00,27291.00,27869.00
"El Salvador","Femmine",332.00,375.00,379.00,453.00,291.00,583.00,645.00,712.00,780.00,796.00,872.00,1011.00,1053.00,1151.00,1244.00,1231.00,1131.00,1447.00,1577.00,1613.00,1599.00,1599.00,1718.00,2004.00,2401.00,2726.00,2839.00
"El Salvador","Maschi",99.00,119.00,128.00,179.00,139.00,276.00,296.00,323.00,347.00,367.00,406.00,490.00,515.00,600.00,682.00,702.00,665.00,826.00,920.00,943.00,954.00,963.00,1021.00,1129.00,1319.00,1542.00,1664.00
"Emirati Arabi Uniti","Femmine",0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Emirati Arabi Uniti","Maschi",0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Eritrea","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,265.00,367.00,537.00,695.00,883.00,1072.00,1216.00,1258.00,1133.00,1266.00,1408.00,1440.00,1480.00,1465.00,1486.00,1507.00,1472.00,1490.00,1406.00
"Eritrea","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,52.00,71.00,121.00,154.00,223.00,307.00,366.00,388.00,367.00,440.00,580.00,698.00,836.00,891.00,1024.00,1078.00,1026.00,1028.00,933.00
"Estonia","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,3.00,6.00,7.00,8.00,14.00,12.00,21.00,30.00,30.00,33.00,35.00,38.00,43.00,45.00,50.00,56.00
"Estonia","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,2.00,2.00,4.00,3.00
"Etiopia","Femmine",1122.00,1209.00,1235.00,1268.00,727.00,1388.00,1449.00,1474.00,1299.00,1229.00,1120.00,1114.00,928.00,819.00,779.00,714.00,368.00,412.00,419.00,419.00,434.00,423.00,438.00,461.00,460.00,470.00,454.00
"Etiopia","Maschi",674.00,679.00,691.00,714.00,374.00,776.00,784.00,783.00,735.00,710.00,649.00,629.00,543.00,480.00,450.00,395.00,176.00,178.00,196.00,198.00,231.00,238.00,275.00,286.00,267.00,280.00,270.00
"Filippine","Femmine",778.00,1045.00,1192.00,1530.00,1636.00,2974.00,3450.00,3778.00,4132.00,4734.00,6528.00,8994.00,9775.00,11019.00,11963.00,12320.00,11377.00,13861.00,15238.00,15699.00,15857.00,16188.00,17488.00,18982.00,20853.00,22365.00,22765.00
"Filippine","Maschi",207.00,272.00,359.00,556.00,838.00,1550.00,1938.00,2129.00,2373.00,2816.00,4187.00,5973.00,6697.00,7666.00,8493.00,8893.00,8348.00,10220.00,11407.00,11887.00,12174.00,12561.00,13635.00,14763.00,16149.00,17493.00,17994.00
"Finlandia","Femmine",28.00,30.00,34.00,45.00,54.00,0.00,43.00,50.00,60.00,67.00,73.00,85.00,89.00,97.00,120.00,112.00,77.00,80.00,89.00,89.00,91.00,94.00,99.00,97.00,99.00,106.00,102.00
"Finlandia","Maschi",14.00,17.00,18.00,19.00,18.00,0.00,19.00,16.00,22.00,22.00,26.00,28.00,26.00,27.00,33.00,35.00,16.00,17.00,22.00,25.00,24.00,25.00,25.00,27.00,27.00,27.00,24.00
"Francia","Femmine",1133.00,1186.00,1228.00,1263.00,827.00,1379.00,1442.00,1532.00,1656.00,1677.00,1749.00,1951.00,2017.00,2119.00,2337.00,2332.00,1414.00,1475.00,1695.00,1782.00,1845.00,1920.00,2079.00,2151.00,2246.00,2366.00,2141.00
"Francia","Maschi",965.00,1009.00,1056.00,1090.00,592.00,1184.00,1283.00,1387.00,1480.00,1502.00,1601.00,1825.00,1888.00,2037.00,2217.00,2195.00,1104.00,1150.00,1364.00,1441.00,1487.00,1565.00,1684.00,1717.00,1785.00,1872.00,1706.00
"Gabon","Femmine",2.00,2.00,2.00,2.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,0.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00
"Gabon","Maschi",0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,0.00,1.00,1.00,2.00,1.00
"Gambia","Femmine",0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,8.00,5.00,6.00,8.00,9.00,11.00,14.00,15.00,16.00,22.00
"Gambia","Maschi",3.00,3.00,3.00,2.00,6.00,0.00,8.00,8.00,10.00,13.00,25.00,62.00,74.00,119.00,132.00,120.00,59.00,70.00,83.00,88.00,91.00,97.00,105.00,118.00,117.00,133.00,135.00
"Georgia","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,5.00,6.00,7.00,12.00,12.00,16.00,29.00,29.00,32.00,35.00,61.00,105.00,151.00,218.00,271.00
"Georgia","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,3.00,4.00,6.00,8.00,5.00,4.00,11.00,17.00,16.00,17.00,28.00,38.00,36.00,45.00,63.00
"Germania","Femmine",1100.00,1134.00,1164.00,1190.00,733.00,1202.00,1205.00,1215.00,1223.00,1223.00,1261.00,1372.00,1368.00,1392.00,1476.00,1415.00,913.00,967.00,1037.00,1088.00,1105.00,1135.00,1179.00,1193.00,1225.00,1216.00,1115.00
"Germania","Maschi",1049.00,1028.00,1043.00,1038.00,545.00,1027.00,1005.00,1026.00,1036.00,1032.00,1071.00,1161.00,1156.00,1161.00,1196.00,1114.00,698.00,735.00,794.00,815.00,827.00,820.00,863.00,864.00,884.00,904.00,824.00
"Germania Democratica","Femmine",2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Germania Democratica","Maschi",0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Ghana","Femmine",4.00,6.00,6.00,9.00,11.00,0.00,17.00,20.00,19.00,24.00,28.00,35.00,38.00,38.00,43.00,41.00,37.00,45.00,54.00,51.00,52.00,42.00,50.00,54.00,53.00,51.00,50.00
"Ghana","Maschi",9.00,11.00,10.00,15.00,10.00,0.00,85.00,87.00,82.00,83.00,83.00,91.00,93.00,95.00,102.00,95.00,69.00,69.00,71.00,62.00,63.00,54.00,71.00,78.00,79.00,126.00,116.00
"Giamaica","Femmine",3.00,4.00,3.00,4.00,5.00,0.00,5.00,5.00,6.00,7.00,9.00,9.00,9.00,9.00,9.00,10.00,7.00,7.00,7.00,5.00,6.00,6.00,6.00,6.00,5.00,4.00,6.00
"Giamaica","Maschi",2.00,2.00,2.00,2.00,2.00,0.00,3.00,3.00,3.00,3.00,3.00,4.00,5.00,5.00,5.00,5.00,2.00,3.00,7.00,7.00,7.00,6.00,10.00,9.00,10.00,10.00,12.00
"Giappone","Femmine",504.00,585.00,640.00,699.00,659.00,820.00,899.00,956.00,1010.00,1006.00,1082.00,1162.00,1191.00,1206.00,1333.00,1359.00,858.00,902.00,1010.00,1039.00,1078.00,1087.00,1154.00,1172.00,1214.00,1296.00,1276.00
"Giappone","Maschi",629.00,698.00,750.00,807.00,596.00,940.00,989.00,1018.00,1044.00,1072.00,1141.00,1175.00,1185.00,1177.00,1249.00,1243.00,649.00,690.00,780.00,818.00,841.00,880.00,934.00,963.00,992.00,1048.00,1029.00
"Gibuti","Femmine",0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Gibuti","Maschi",0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Giordania","Femmine",5.00,6.00,7.00,9.00,12.00,0.00,13.00,21.00,28.00,30.00,29.00,39.00,41.00,42.00,44.00,48.00,38.00,47.00,45.00,47.00,49.00,53.00,56.00,58.00,57.00,61.00,50.00
"Giordania","Maschi",153.00,160.00,161.00,178.00,79.00,0.00,223.00,224.00,205.00,206.00,220.00,229.00,225.00,225.00,235.00,224.00,113.00,135.00,138.00,130.00,126.00,125.00,124.00,117.00,112.00,122.00,111.00
"Grecia","Femmine",309.00,317.00,318.00,325.00,126.00,326.00,335.00,338.00,339.00,339.00,347.00,375.00,380.00,391.00,409.00,397.00,186.00,193.00,194.00,199.00,203.00,214.00,229.00,244.00,255.00,287.00,265.00
"Grecia","Maschi",611.00,630.00,647.00,657.00,180.00,693.00,715.00,727.00,727.00,701.00,713.00,736.00,746.00,758.00,761.00,675.00,193.00,197.00,201.00,212.00,210.00,218.00,229.00,241.00,249.00,274.00,249.00
"Grenada","Femmine",0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Grenada","Maschi",0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Guatemala","Femmine",7.00,11.00,9.00,9.00,6.00,0.00,11.00,14.00,13.00,13.00,13.00,15.00,15.00,15.00,16.00,15.00,12.00,16.00,18.00,20.00,19.00,20.00,21.00,23.00,32.00,36.00,39.00
"Guatemala","Maschi",5.00,5.00,5.00,5.00,4.00,0.00,6.00,6.00,7.00,5.00,6.00,7.00,7.00,6.00,12.00,12.00,9.00,12.00,14.00,13.00,15.00,15.00,15.00,16.00,17.00,21.00,21.00
"Guinea","Femmine",0.00,1.00,2.00,3.00,4.00,0.00,3.00,6.00,5.00,5.00,7.00,12.00,11.00,14.00,18.00,16.00,16.00,18.00,20.00,21.00,25.00,25.00,25.00,28.00,28.00,34.00,32.00
"Guinea","Maschi",14.00,16.00,17.00,21.00,10.00,0.00,26.00,26.00,25.00,28.00,35.00,40.00,44.00,45.00,52.00,50.00,38.00,44.00,52.00,57.00,63.00,68.00,65.00,76.00,61.00,76.00,83.00
"Guinea Bissau","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00
"Guinea Bissau","Maschi",0.00,1.00,1.00,1.00,2.00,0.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,4.00,4.00,6.00,5.00,5.00,4.00,7.00,6.00,6.00,9.00,11.00,10.00,10.00,12.00
"Guinea Equatoriale","Maschi",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Guyana","Femmine",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Haiti","Femmine",25.00,25.00,25.00,26.00,5.00,0.00,24.00,25.00,24.00,24.00,25.00,26.00,29.00,29.00,30.00,22.00,4.00,6.00,7.00,7.00,6.00,7.00,5.00,5.00,6.00,7.00,6.00
"Haiti","Maschi",4.00,4.00,4.00,4.00,1.00,0.00,4.00,5.00,5.00,4.00,5.00,6.00,6.00,5.00,5.00,6.00,4.00,4.00,1.00,2.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00
"Honduras","Femmine",1.00,3.00,4.00,3.00,5.00,0.00,5.00,5.00,4.00,2.00,2.00,4.00,4.00,5.00,5.00,6.00,5.00,10.00,11.00,12.00,12.00,14.00,16.00,29.00,39.00,50.00,57.00
"Honduras","Maschi",0.00,1.00,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,4.00,4.00,3.00,4.00,4.00,4.00,9.00,13.00,15.00,17.00
"India","Femmine",93.00,99.00,104.00,118.00,63.00,0.00,127.00,141.00,154.00,158.00,160.00,182.00,192.00,207.00,235.00,221.00,180.00,202.00,248.00,261.00,276.00,300.00,338.00,357.00,391.00,444.00,467.00
"India","Maschi",83.00,90.00,95.00,99.00,76.00,0.00,160.00,176.00,177.00,180.00,200.00,246.00,261.00,289.00,333.00,319.00,240.00,300.00,370.00,391.00,392.00,398.00,456.00,522.00,581.00,674.00,718.00
"Indonesia","Femmine",11.00,13.00,13.00,13.00,14.00,0.00,20.00,21.00,25.00,26.00,30.00,34.00,35.00,42.00,49.00,53.00,43.00,39.00,50.00,51.00,49.00,51.00,57.00,61.00,67.00,80.00,82.00
"Indonesia","Maschi",8.00,10.00,12.00,13.00,15.00,0.00,17.00,17.00,19.00,20.00,21.00,26.00,28.00,31.00,34.00,36.00,32.00,35.00,39.00,39.00,37.00,38.00,43.00,45.00,44.00,49.00,45.00
"Iran","Femmine",468.00,466.00,462.00,465.00,208.00,455.00,454.00,453.00,438.00,414.00,407.00,419.00,419.00,405.00,390.00,364.00,183.00,196.00,213.00,236.00,239.00,222.00,251.00,286.00,333.00,483.00,582.00
"Iran","Maschi",657.00,656.00,665.00,670.00,289.00,639.00,611.00,597.00,569.00,554.00,535.00,557.00,550.00,538.00,540.00,491.00,231.00,247.00,256.00,261.00,272.00,264.00,294.00,330.00,363.00,482.00,557.00
"Iraq","Femmine",23.00,24.00,24.00,24.00,6.00,0.00,25.00,25.00,26.00,26.00,27.00,26.00,27.00,28.00,28.00,28.00,7.00,7.00,13.00,10.00,17.00,19.00,20.00,20.00,19.00,16.00,16.00
"Iraq","Maschi",53.00,52.00,51.00,50.00,24.00,0.00,50.00,49.00,47.00,45.00,46.00,46.00,47.00,49.00,50.00,45.00,21.00,21.00,32.00,37.00,42.00,44.00,62.00,63.00,60.00,51.00,51.00
"Irlanda","Femmine",46.00,54.00,67.00,76.00,44.00,0.00,118.00,125.00,135.00,137.00,139.00,156.00,169.00,179.00,196.00,182.00,89.00,92.00,102.00,104.00,106.00,113.00,118.00,122.00,130.00,135.00,120.00
"Irlanda","Maschi",34.00,40.00,44.00,53.00,29.00,0.00,89.00,99.00,103.00,110.00,120.00,130.00,133.00,139.00,158.00,150.00,62.00,69.00,81.00,85.00,91.00,94.00,95.00,102.00,113.00,117.00,98.00
"Islanda","Femmine",1.00,3.00,2.00,2.00,4.00,0.00,4.00,3.00,4.00,4.00,4.00,5.00,6.00,9.00,11.00,10.00,10.00,10.00,10.00,12.00,12.00,13.00,18.00,21.00,20.00,20.00,17.00
"Islanda","Maschi",1.00,3.00,3.00,3.00,4.00,0.00,4.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,7.00,7.00,5.00,6.00,9.00,10.00,11.00,11.00,11.00,12.00,12.00,12.00,9.00
"Israele","Femmine",379.00,395.00,395.00,406.00,168.00,425.00,432.00,437.00,411.00,409.00,403.00,427.00,429.00,425.00,424.00,409.00,162.00,163.00,184.00,201.00,206.00,220.00,229.00,221.00,219.00,234.00,233.00
"Israele","Maschi",531.00,546.00,545.00,557.00,192.00,567.00,588.00,595.00,544.00,522.00,519.00,530.00,539.00,535.00,546.00,509.00,213.00,216.00,237.00,247.00,248.00,245.00,234.00,242.00,242.00,253.00,248.00
"Jugoslavia (Serbia-Montenegro)","Femmine",419.00,468.00,479.00,513.00,643.00,602.00,674.00,751.00,809.00,815.00,812.00,842.00,830.00,845.00,902.00,863.00,509.00,541.00,596.00,595.00,599.00,580.00,0.00,0.00,0.00,0.00,0.00
"Jugoslavia (Serbia-Montenegro)","Maschi",413.00,452.00,464.00,511.00,612.00,630.00,710.00,857.00,917.00,932.00,956.00,982.00,972.00,979.00,993.00,935.00,477.00,504.00,547.00,552.00,550.00,546.00,0.00,0.00,0.00,0.00,0.00
"Kazakistan","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,6.00,11.00,11.00,15.00,14.00,11.00,13.00,19.00,28.00,28.00,36.00,54.00,58.00,60.00,69.00,73.00
"Kazakistan","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,3.00,3.00,3.00,2.00,3.00,3.00,4.00,12.00,13.00,14.00,15.00,18.00,19.00
"Kenya","Femmine",3.00,3.00,4.00,4.00,10.00,0.00,11.00,13.00,17.00,17.00,19.00,22.00,27.00,34.00,36.00,38.00,32.00,35.00,43.00,48.00,47.00,54.00,62.00,71.00,78.00,89.00,90.00
"Kenya","Maschi",7.00,8.00,8.00,10.00,10.00,0.00,15.00,18.00,19.00,24.00,27.00,29.00,28.00,39.00,41.00,42.00,31.00,36.00,38.00,40.00,41.00,43.00,46.00,50.00,52.00,60.00,59.00
"Kirghizistan","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,8.00,8.00,10.00,12.00,19.00,25.00
"Kirghizistan","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00
"Kosovo","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,6.00,9.00,69.00,66.00
"Kosovo","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,18.00,35.00,141.00,159.00
"Kuwait","Femmine",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"Kuwait","Maschi",0.00,0.00,2.00,2.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
"Laos","Femmine",0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00
"Laos","Maschi",0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Lesotho","Femmine",0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Lesotho","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
"Lettonia","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,4.00,7.00,11.00,11.00,15.00,20.00,20.00,24.00,43.00,52.00,57.00,74.00,85.00,97.00,108.00,130.00,115.00
"Lettonia","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,3.00,4.00,6.00,6.00,6.00,6.00,6.00,10.00,14.00,13.00
"Libano","Femmine",133.00,138.00,140.00,144.00,104.00,0.00,152.00,154.00,152.00,139.00,132.00,136.00,125.00,115.00,123.00,110.00,72.00,71.00,71.00,68.00,71.00,70.00,56.00,55.00,57.00,62.00,65.00
"Libano","Maschi",245.00,245.00,245.00,246.00,133.00,0.00,278.00,284.00,270.00,262.00,255.00,255.00,245.00,233.00,247.00,236.00,123.00,138.00,149.00,151.00,151.00,153.00,157.00,151.00,168.00,177.00,176.00
"Liberia","Femmine",1.00,1.00,1.00,1.00,1.00,0.00,1.00,4.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,5.00,4.00,5.00,7.00,8.00,7.00,7.00,8.00,9.00,9.00,8.00,5.00
"Liberia","Maschi",3.00,3.00,3.00,3.00,1.00,0.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,4.00,5.00,4.00,3.00,5.00,16.00,21.00,21.00,21.00,17.00,17.00,21.00,23.00,19.00
"Libia","Femmine",68.00,62.00,60.00,57.00,13.00,0.00,55.00,55.00,43.00,43.00,46.00,48.00,48.00,47.00,48.00,42.00,16.00,16.00,16.00,21.00,26.00,25.00,25.00,24.00,30.00,36.00,36.00
"Libia","Maschi",82.00,78.00,77.00,68.00,22.00,0.00,71.00,70.00,52.00,50.00,56.00,58.00,58.00,57.00,63.00,50.00,21.00,35.00,42.00,50.00,55.00,55.00,61.00,56.00,62.00,68.00,66.00
"Liechtenstein","Femmine",0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
"Liechtenstein","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Lituania","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,4.00,5.00,8.00,11.00,14.00,15.00,21.00,26.00,41.00,48.00,60.00,73.00,94.00,104.00,127.00,150.00,147.00
"Lituania","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,4.00,5.00,4.00,4.00,11.00,16.00,22.00,27.00,24.00
"Lussemburgo","Femmine",6.00,5.00,5.00,5.00,9.00,0.00,6.00,7.00,7.00,7.00,9.00,10.00,11.00,10.00,6.00,6.00,3.00,4.00,5.00,5.00,5.00,6.00,6.00,8.00,7.00,7.00,6.00
"Lussemburgo","Maschi",11.00,9.00,10.00,10.00,7.00,0.00,11.00,10.00,8.00,8.00,9.00,8.00,10.00,10.00,9.00,12.00,8.00,5.00,4.00,2.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00
"Macedonia. ex Rep. Jugoslava","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,10.00,17.00,6.00,5.00,21.00,29.00,43.00,45.00,45.00,55.00,75.00,80.00,88.00,80.00,82.00,80.00,83.00,88.00,87.00
"Macedonia. ex Rep. Jugoslava","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,19.00,34.00,10.00,10.00,45.00,54.00,65.00,72.00,48.00,64.00,77.00,80.00,85.00,81.00,77.00,84.00,83.00,90.00,82.00
"Madagascar","Femmine",4.00,5.00,3.00,3.00,8.00,0.00,0.00,10.00,9.00,11.00,12.00,14.00,12.00,14.00,15.00,15.00,12.00,12.00,13.00,14.00,12.00,11.00,11.00,10.00,10.00,12.00,11.00
"Madagascar","Maschi",2.00,2.00,2.00,2.00,3.00,0.00,0.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,3.00,5.00,4.00
"Malawi","Femmine",0.00,0.00,0.00,0.00,8.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
"Malawi","Maschi",0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
"Malaysia","Femmine",2.00,4.00,3.00,5.00,4.00,0.00,8.00,9.00,8.00,10.00,11.00,14.00,14.00,15.00,17.00,20.00,12.00,17.00,19.00,20.00,20.00,17.00,17.00,18.00,20.00,22.00,23.00
"Malaysia","Maschi",10.00,12.00,11.00,12.00,3.00,0.00,20.00,21.00,17.00,18.00,20.00,21.00,20.00,20.00,19.00,18.00,9.00,10.00,13.00,14.00,15.00,14.00,13.00,13.00,14.00,17.00,17.00
"Maldive","Femmine",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
"Maldive","Maschi",0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
